190038 329891
163 41.972237 -87.766154
164 41.971947 -87.765507
165 41.971459 -87.764104
166 41.971232 -87.763211
167 41.970798 -87.761685
168 41.970467 -87.760832
169 41.968694 -87.757548
170 41.966800 -87.754183
171 41.966478 -87.753623
172 41.965408 -87.751897
173 41.964363 -87.750315
174 41.964121 -87.749887
175 41.963462 -87.748203
176 41.963292 -87.747695
177 41.962533 -87.745949
178 41.962276 -87.745554
179 41.961252 -87.744064
180 41.960590 -87.743060
181 41.960292 -87.742660
182 41.956540 -87.736222
183 41.956373 -87.735914
184 41.955612 -87.734480
185 41.954692 -87.732794
186 41.953881 -87.731367
187 41.953359 -87.730439
188 41.951895 -87.727852
189 41.951192 -87.726617
190 41.949809 -87.724177
191 41.948530 -87.721846
192 41.948155 -87.720962
193 41.947972 -87.720553
194 41.947789 -87.720184
195 41.947407 -87.719594
196 41.947023 -87.719163
197 41.946653 -87.718847
198 41.946377 -87.718659
199 41.945777 -87.718310
200 41.945207 -87.717999
201 41.943245 -87.716834
202 41.943011 -87.716636
203 41.942771 -87.716406
204 41.942529 -87.716134
205 41.942092 -87.715532
206 41.941631 -87.714628
207 41.941504 -87.714287
208 41.941383 -87.713911
209 41.941133 -87.712939
210 41.940954 -87.712188
211 41.940803 -87.711565
212 41.940579 -87.710781
213 41.940436 -87.710419
214 41.940117 -87.709827
215 41.939864 -87.709376
216 41.938728 -87.707390
217 41.936495 -87.703551
218 41.935777 -87.702348
219 41.934155 -87.699593
220 41.933179 -87.697940
221 41.932825 -87.697350
222 41.932339 -87.696519
223 41.931897 -87.695777
224 41.931165 -87.694526
225 41.930053 -87.692491
226 41.929815 -87.691953
227 41.928847 -87.689917
228 41.927267 -87.687141
229 41.925230 -87.683543
230 41.924745 -87.682698
231 41.922124 -87.678070
232 41.904036 -87.661565
233 41.904784 -87.661370
234 41.905141 -87.661302
235 41.905628 -87.661199
236 41.903209 -87.661663
237 41.902795 -87.661633
238 41.902623 -87.661608
239 41.921222 -87.676495
240 41.918857 -87.672335
241 41.918378 -87.671496
242 41.918139 -87.671115
243 41.917647 -87.670413
244 41.917456 -87.670155
245 41.917124 -87.669746
246 41.916815 -87.669405
247 41.916326 -87.668918
248 41.915585 -87.668293
249 41.914479 -87.667548
250 41.910929 -87.665366
251 41.910423 -87.665052
252 41.909976 -87.664752
253 41.909439 -87.664305
254 41.908887 -87.663760
255 41.907993 -87.662740
256 41.907574 -87.662274
257 41.907280 -87.662005
258 41.906950 -87.661751
259 41.906635 -87.661559
260 41.906386 -87.661439
261 41.905977 -87.661284
262 41.901461 -87.660726
263 41.905451 -87.661164
264 41.905221 -87.661140
265 41.904234 -87.661200
266 41.903788 -87.661256
267 41.902864 -87.661302
268 41.902553 -87.661288
269 41.902284 -87.661260
270 41.901587 -87.661131
271 41.901753 -87.660805
272 41.902092 -87.660864
273 41.902476 -87.660915
274 41.902859 -87.660932
275 41.904035 -87.660859
276 41.904443 -87.660795
277 41.905035 -87.660750
278 41.905336 -87.660775
279 41.906186 -87.660967
280 41.906443 -87.661061
281 41.906799 -87.661253
282 41.907216 -87.661536
283 41.907506 -87.661767
284 41.907960 -87.662221
285 41.908253 -87.662559
286 41.909238 -87.663652
287 41.909684 -87.664076
288 41.910145 -87.664439
289 41.910429 -87.664636
290 41.910934 -87.664955
291 41.915208 -87.667579
292 41.915620 -87.667879
293 41.916448 -87.668583
294 41.916712 -87.668819
295 41.917096 -87.669227
296 41.917370 -87.669547
297 41.917660 -87.669906
298 41.918150 -87.670574
299 41.918549 -87.671196
300 41.919222 -87.672354
301 41.920526 -87.675272
302 41.921020 -87.675507
303 41.921618 -87.676562
304 41.922152 -87.677502
305 41.922927 -87.678858
306 41.923332 -87.680211
307 41.923688 -87.680211
308 41.924754 -87.682080
309 41.925235 -87.682942
310 41.927194 -87.686390
311 41.927760 -87.687375
312 41.928910 -87.689416
313 41.929687 -87.690774
314 41.930671 -87.692523
315 41.931333 -87.693634
316 41.931905 -87.694602
317 41.932345 -87.695353
318 41.933532 -87.697368
319 41.933884 -87.697962
320 41.934785 -87.699491
321 41.937403 -87.704111
322 41.939645 -87.708257
323 41.940108 -87.709081
324 41.940439 -87.709664
325 41.940632 -87.710037
326 41.940779 -87.710366
327 41.941069 -87.711279
328 41.941298 -87.712199
329 41.941484 -87.712947
330 41.941572 -87.713316
331 41.941793 -87.713979
332 41.942050 -87.714563
333 41.942208 -87.714861
334 41.943246 -87.716183
335 41.943337 -87.716267
336 41.943551 -87.716453
337 41.944154 -87.716851
338 41.945210 -87.717442
339 41.946163 -87.717970
340 41.946743 -87.718308
341 41.947186 -87.718650
342 41.947406 -87.718870
343 41.948062 -87.719749
344 41.948262 -87.720138
345 41.948438 -87.720552
346 41.948661 -87.721116
347 41.948955 -87.721756
348 41.950310 -87.724198
349 41.952081 -87.727295
350 41.952402 -87.727867
351 41.953372 -87.729561
352 41.955806 -87.733876
353 41.957083 -87.736150
354 41.958738 -87.739116
355 41.959272 -87.740093
356 41.960158 -87.741523
357 41.960971 -87.742589
358 41.962993 -87.745925
359 41.963166 -87.746454
360 41.963713 -87.748228
361 41.964295 -87.749707
362 41.964501 -87.750081
363 41.964836 -87.750618
364 41.966591 -87.753278
365 41.967061 -87.754084
366 41.970073 -87.759363
367 41.970410 -87.759996
368 41.971080 -87.761656
369 41.971465 -87.763108
370 41.971966 -87.764859
371 41.972374 -87.765835
372 41.973349 -87.767637
373 41.977152 -87.774339
374 41.982469 -87.813134
375 41.979605 -87.778680
376 41.981476 -87.781980
377 41.982297 -87.783819
378 41.982409 -87.784220
379 41.982513 -87.784738
380 41.982557 -87.785038
381 41.982620 -87.787461
382 41.982593 -87.790559
383 41.982587 -87.791825
384 41.982560 -87.796051
385 41.982534 -87.798234
386 41.982477 -87.806599
387 41.900749 -87.660483
388 41.900260 -87.660257
389 41.898138 -87.659272
390 41.897849 -87.659121
391 41.896733 -87.658396
392 41.896395 -87.658090
393 41.895404 -87.657024
394 41.894670 -87.655982
395 41.892284 -87.652457
396 41.890759 -87.650313
397 41.888483 -87.647404
398 41.886307 -87.646049
399 41.884645 -87.645654
400 41.857753 -87.644171
401 41.857015 -87.644160
402 41.856472 -87.644193
403 41.854171 -87.644846
404 41.852661 -87.645179
405 41.851957 -87.645164
406 41.851581 -87.645107
407 41.850908 -87.644903
408 41.850055 -87.644474
409 41.848887 -87.643782
410 41.847969 -87.642995
411 41.847489 -87.642298
412 41.847214 -87.641717
413 41.846963 -87.640912
414 41.845404 -87.634351
415 41.856401 -87.644424
416 41.853600 -87.645216
417 41.853268 -87.645292
418 41.853019 -87.645342
419 41.851973 -87.645372
420 41.850164 -87.644764
421 41.848867 -87.643995
422 41.847430 -87.642507
423 41.847331 -87.642330
424 41.846829 -87.640982
425 41.863338 -87.618982
426 41.859154 -87.617327
427 41.853221 -87.614725
428 41.848129 -87.623007
429 41.847765 -87.625378
430 41.847616 -87.625855
431 41.847164 -87.627510
432 41.847905 -87.624788
433 41.929491 -87.631942
434 41.930328 -87.631950
435 41.932667 -87.631906
436 41.933545 -87.631953
437 41.933834 -87.632003
438 41.934701 -87.632273
439 41.935183 -87.632501
440 41.935906 -87.632967
441 41.936476 -87.633442
442 41.936939 -87.633912
443 41.937489 -87.634604
444 41.939073 -87.636760
445 41.939368 -87.637139
446 41.939707 -87.637535
447 41.940424 -87.638205
448 41.940590 -87.638342
449 41.941399 -87.638962
450 41.943502 -87.640125
451 41.944986 -87.640936
452 41.946368 -87.641690
453 41.950931 -87.644376
454 41.951253 -87.644496
455 41.951655 -87.644582
456 41.952041 -87.644600
457 41.952992 -87.644572
458 41.954565 -87.644574
459 41.954749 -87.644596
460 41.955542 -87.644767
461 41.956216 -87.644999
462 41.957950 -87.645690
463 41.959043 -87.645966
464 41.959456 -87.646038
465 41.960254 -87.646094
466 41.962081 -87.646256
467 41.965568 -87.647038
468 41.962051 -87.646482
469 41.961874 -87.646450
470 41.959622 -87.646282
471 41.957427 -87.645733
472 41.957338 -87.645451
473 41.956108 -87.645188
474 41.955451 -87.644966
475 41.954748 -87.644819
476 41.954561 -87.644791
477 41.952961 -87.644784
478 41.951599 -87.644785
479 41.951193 -87.644690
480 41.950757 -87.644507
481 41.945748 -87.641569
482 41.943292 -87.640252
483 41.941334 -87.639144
484 41.940511 -87.638516
485 41.940345 -87.638380
486 41.939754 -87.637837
487 41.939301 -87.637339
488 41.938900 -87.636826
489 41.937810 -87.635327
490 41.937261 -87.634584
491 41.936786 -87.634000
492 41.936143 -87.633385
493 41.935828 -87.633134
494 41.935041 -87.632637
495 41.934639 -87.632453
496 41.933929 -87.632230
497 41.933155 -87.632114
498 41.932668 -87.632109
499 41.929715 -87.632156
500 41.928427 -87.632048
501 41.954667 -87.644162
502 41.954634 -87.645266
503 41.954553 -87.650527
504 41.954492 -87.654549
505 41.954380 -87.662225
506 41.954357 -87.664217
507 41.954299 -87.669110
508 41.954307 -87.672224
509 41.954290 -87.673794
510 41.954283 -87.674210
511 41.954216 -87.678771
512 41.954459 -87.656864
513 41.961461 -87.678962
514 41.957874 -87.674338
515 41.957882 -87.673876
516 41.957907 -87.672306
517 41.957932 -87.670742
518 41.957956 -87.669202
519 41.959748 -87.670794
520 41.959730 -87.672366
521 41.959711 -87.673931
522 41.961526 -87.673964
523 41.961547 -87.672411
524 41.961570 -87.670845
525 41.961591 -87.669303
526 41.961499 -87.676016
527 41.961479 -87.677502
528 41.961638 -87.665949
529 41.961665 -87.663883
530 41.961669 -87.663594
531 41.961741 -87.658034
532 41.962081 -87.645563
533 41.956062 -87.673837
534 41.956087 -87.672250
535 41.956111 -87.670690
536 41.954328 -87.670639
537 41.956136 -87.669156
538 41.961518 -87.674511
539 41.959819 -87.665276
540 41.958026 -87.664497
541 41.951046 -87.659594
542 41.930010 -87.643430
543 41.930723 -87.643913
544 41.931849 -87.644577
545 41.936435 -87.647812
546 41.938193 -87.649228
547 41.939965 -87.650679
548 41.951481 -87.674130
549 41.952408 -87.674158
550 41.953283 -87.674184
551 41.954300 -87.672630
552 41.947083 -87.663999
553 41.946869 -87.678550
554 41.925693 -87.639114
555 41.925657 -87.636581
556 41.925291 -87.658464
557 41.925453 -87.648766
558 41.925491 -87.646336
559 41.925580 -87.640463
560 41.939696 -87.668727
561 41.932557 -87.658713
562 41.878055 -87.639592
563 41.878090 -87.636693
564 41.878107 -87.635240
565 41.878123 -87.633745
566 41.878137 -87.632763
567 41.878144 -87.632262
568 41.878160 -87.630780
569 41.878293 -87.624208
570 41.878294 -87.624413
571 41.878262 -87.626099
572 41.878211 -87.627695
573 41.878188 -87.628769
574 41.878179 -87.629291
575 41.876831 -87.635204
576 41.876853 -87.633707
577 41.876863 -87.632729
578 41.876812 -87.636629
579 41.876978 -87.626066
580 41.877010 -87.624380
581 41.876967 -87.624175
582 41.876938 -87.627664
583 41.876912 -87.628739
584 41.876904 -87.629257
